folder,param1,param2,csv_name,c,d,Best_Delta,P_at_BestDelta,Mu_at_BestDelta
-10_-35,-10,-35,CHEES_-35_5000.csv,-35,5000,2.26711923906582,4.58484820439055,2.31772896532473
-12_-35,-12,-35,CHEES_-35_5000.csv,-35,5000,2.26711923906582,4.58484820439055,2.31772896532473
-14_-35,-14,-35,CHEES_-35_5000.csv,-35,5000,2.26711923906582,4.58484820439055,2.31772896532473
-16_-35,-16,-35,CHEES_-35_5000.csv,-35,5000,2.26711923906582,4.58484820439055,2.31772896532473
-18_-35,-18,-35,CHEES_-35_5000.csv,-35,5000,2.26711923906582,4.58484820439055,2.31772896532473
-20_-35,-20,-35,CHEES_-35_5000.csv,-35,5000,2.26711923906582,4.58484820439055,2.31772896532473
-22_-35,-22,-35,CHEES_-35_5000.csv,-35,5000,2.26711923906582,4.58484820439055,2.31772896532473
-24_-35,-24,-35,CHEES_-35_5000.csv,-35,5000,2.26711923906582,4.58484820439055,2.31772896532473
-26_-35,-26,-35,CHEES_-35_5000.csv,-35,5000,2.26711923906582,4.58484820439055,2.31772896532473
-28_-35,-28,-35,CHEES_-35_5000.csv,-35,5000,2.26711923906582,4.58484820439055,2.31772896532473
-30_-35,-30,-35,CHEES_-35_5000.csv,-35,5000,2.26711923906582,4.58484820439055,2.31772896532473
-5_-35,-5,-35,CHEES_-35_5000.csv,-35,5000,2.26711923906582,4.58484820439055,2.31772896532473
-6_-35,-6,-35,CHEES_-35_5000.csv,-35,5000,2.26711923906582,4.58484820439055,2.31772896532473
-7_-35,-7,-35,CHEES_-35_5000.csv,-35,5000,2.26711923906582,4.58484820439055,2.31772896532473
-8_-35,-8,-35,CHEES_-35_5000.csv,-35,5000,2.26711923906582,4.58484820439055,2.31772896532473
-5_-36,-5,-36,CHEES_-35_5000.csv,-35,5000,2.2714788490448,4.54610884508252,2.27462999603772
-6_-36,-6,-36,CHEES_-35_5000.csv,-35,5000,2.27158285199923,4.54601040923336,2.27442755723413
-7_-36,-7,-36,CHEES_-35_5000.csv,-35,5000,2.27169816606549,4.54593821552415,2.27424004945866
-8_-36,-8,-36,CHEES_-35_5000.csv,-35,5000,2.2718344321922,4.5457378705186,2.27390343832641
-10_-36,-10,-36,CHEES_-35_5000.csv,-35,5000,2.27210740701192,4.54543093354344,2.27332352653152
-12_-36,-12,-36,CHEES_-35_5000.csv,-35,5000,2.27247940852055,4.54490995502541,2.27243054650487
-14_-36,-14,-36,CHEES_-35_5000.csv,-35,5000,2.27289575778578,4.54446128098766,2.27156552320188
-16_-36,-16,-36,CHEES_-35_5000.csv,-35,5000,2.2734028588248,4.54386815345356,2.27046529462876
-18_-36,-18,-36,CHEES_-35_5000.csv,-35,5000,2.2739767471802,4.54316361440427,2.26918686722407
-20_-36,-20,-36,CHEES_-35_5000.csv,-35,5000,2.27475368578859,4.54209049299831,2.26733680720972
-22_-36,-22,-36,CHEES_-35_5000.csv,-35,5000,2.27581058300662,4.54087730901568,2.26506672600906
-5_-37,-5,-37,CHEES_-35_5000.csv,-35,5000,2.2759620320313,4.51116816119526,2.23520612916395
